STATE,13 - 17,18 - 24,25 - 64,All 18 plus,fips_state,STUSAB_code
Alabama,"3,400","5,400","10,400","18,400",1,AL
Alaska,500,"1,000","2,500","3,900",2,AK
Arizona,"7,300","13,000","25,200","41,200",4,AZ
Arkansas,"1,800","9,800","3,500","16,200",5,AR
California,"49,100","25,500","105,100","150,100",6,CA
Colorado,"4,200","10,800","15,800","27,000",8,CO
Connecticut,"3,700","4,600","8,300","15,300",9,CT
Delaware,600,"2,000","3,400","6,300",10,DE
D.C.,600,"1,600","3,200","5,300",11,DC
Florida,"16,200","22,400","53,900","94,900",12,FL
Georgia,"8,500","12,700","26,800","48,700",13,GA
Hawaii,"1,700","1,800","4,800","7,800",15,HI
Idaho,"1,000","1,500","4,500","7,000",16,ID
Illinois,"13,700","22,300","16,300","43,400",17,IL
Indiana,"4,100","7,800","15,100","25,800",18,IN
Iowa,"2,100","1,400","4,400","7,100",19,IA
Kansas,"2,100","5,700","5,000","12,400",20,KS
Kentucky,"2,000","5,300","9,900","17,700",21,KY
Louisiana,"4,000","3,300","10,700","15,700",22,LA
Maine,"1,200","1,600","3,300","5,900",23,ME
Maryland,"8,000","10,100","12,200","24,000",24,MD
Massachusetts,"5,900","15,700","16,100","37,100",25,MA
Michigan,"8,900","10,800","19,600","33,000",26,MI
Minnesota,"3,500","7,900","15,200","26,000",27,MN
Mississippi,"2,400","2,400","5,500","9,600",28,MS
Missouri,"2,900","3,900","2,100","9,500",29,MO
Montana,500,700,"2,500","3,400",30,MT
Nebraska,"1,200","2,100","3,600","6,600",31,NE
Nevada,"3,300","2,200","5,700","8,100",32,NV
New Hampshire,700,"1,900","3,500","6,300",33,NH
New Jersey,"3,800","12,700","24,800","43,100",34,NJ
New Mexico,"3,700","1,600","6,500","10,900",35,NM
New York,"34,800","24,100","47,600","81,800",36,NY
North Carolina,"8,500","24,000","38,400","71,300",37,NC
North Dakota,500,800,"1,400","2,500",38,ND
Ohio,"8,500","12,200","27,100","46,500",39,OH
Oklahoma,"2,600","9,300","8,500","18,900",40,OK
Oregon,"2,900","5,700","11,500","19,900",41,OR
Pennsylvania,"10,000","16,900","33,400","56,000",42,PA
Rhode Island,"1,200","2,300","3,000","5,700",44,RI
South Carolina,"3,700","4,100","11,300","19,000",45,SC
South Dakota,500,900,"1,600","2,900",46,SD
Tennessee,"3,100","11,700","15,000","27,700",47,TN
Texas,"29,800","19,800","61,500","92,900",48,TX
Utah,"2,100","4,800","7,300","13,700",49,UT
Vermont,500,800,"1,500","2,700",50,VT
Virginia,"6,200","8,800","18,000","31,400",51,VA
Washington,"5,000","13,300","16,900","33,300",53,WA
West Virginia,700,"1,800","3,200","5,700",54,WV
Wisconsin,"6,400","5,300","8,500","15,500",55,WI
Wyoming,200,700,"1,200","2,100",56,WY